,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
3,0.0173,0.027,0.6004,0.0458,0.1006,3.6064,5.3561,1.1822,1.9496,0.9229
5,0.0205,0.0293,0.6825,0.0306,0.1007,3.9225,6.2326,1.3875,2.3112,0.9216
10,0.0224,0.029,0.6475,0.0376,0.1071,3.9226,6.239,1.3851,2.1628,0.922
13,0.0798,0.0289,0.6492,0.0415,0.1109,3.9057,6.1911,1.3637,2.1912,0.9286
15,0.0287,0.0388,0.741,0.0446,0.1233,4.9297,8.1162,1.5398,2.8682,0.9222
24,0.0409,0.0265,0.6058,0.0624,0.1251,3.8234,6.4098,1.2863,1.7614,0.9322
31,0.0119,0.0291,0.5823,0.0566,0.1299,4.1117,6.8957,1.5091,2.223,0.9394
33,0.0211,0.0251,0.5665,0.0509,0.1058,3.7323,6.1765,1.3905,1.9897,0.9386
45,0.0246,0.0244,0.6159,0.0341,0.087,3.7475,6.4632,1.3731,2.1711,0.9456
54,0.023,0.0243,0.6708,0.0461,0.0934,3.7788,6.4355,1.3775,2.0656,0.9499
58,0.019,0.0241,0.6452,0.04,0.0816,3.7664,6.3527,1.298,2.0091,0.9504
63,0.012,0.0245,0.6339,0.0388,0.0889,3.8318,6.2991,1.212,1.8419,0.9513
65,0.0106,0.0257,0.6284,0.0412,0.0902,4.0137,6.4767,1.2132,1.8927,0.9478
72,0.015,0.0265,0.6488,0.0476,0.0857,4.3373,6.7726,1.161,1.7231,0.9515
73,0.0157,0.0251,0.5902,0.0588,0.092,4.1218,6.3293,1.0986,1.5532,0.9506
74,0.0164,0.0259,0.6039,0.0547,0.0886,4.1084,6.4225,1.0994,1.6326,0.9496
75,0.013,0.0261,0.6044,0.081,0.0853,3.9601,6.1552,1.0826,1.6384,0.9494
85,0.032,0.0281,0.6607,0.0449,0.1128,4.1842,6.7807,1.2783,1.8134,0.9482
86,0.0206,0.0248,0.5738,0.0482,0.0986,3.8233,6.0333,1.0871,1.4837,0.9484
87,0.016,0.0332,0.738,0.0408,0.122,4.6143,7.5326,1.3152,2.2403,0.9469
93,0.022,0.0249,0.5834,0.0502,0.1002,3.8566,6.1107,1.0108,1.376,0.955
96,0.0205,0.0248,0.5756,0.0525,0.1095,3.8101,5.994,0.9911,1.3656,0.9554
99,0.0205,0.0242,0.5761,0.0536,0.1137,3.5319,5.6526,0.9226,1.347,0.9537
103,0.0175,0.024,0.6435,0.0528,0.101,3.7032,6.1826,1.0044,1.3229,0.9558
105,0.0137,0.0236,0.6094,0.0513,0.103,3.6778,6.1635,0.9418,1.2753,0.9533
107,0.0088,0.0242,0.631,0.0525,0.1026,3.763,6.2439,0.9684,1.3194,0.9527
