,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
3,0.0025,0.0429,0.8865,0.09,0.0686,5.8131,8.1017,1.5463,2.8208,0.9222
5,0.002,0.0376,0.8829,0.0515,0.0509,5.044,7.8698,1.5818,2.8962,0.9201
10,0.002,0.0387,0.8954,0.0363,0.0284,5.1746,8.0091,1.5858,2.9472,0.915
13,0.0019,0.0394,0.8902,0.0353,0.0257,5.2407,8.1063,1.5713,2.9099,0.9271
15,0.0019,0.0413,0.9189,0.0364,0.0277,5.4656,8.4479,1.6922,3.0068,0.9238
24,0.0019,0.042,1.0147,0.0412,0.0348,5.4589,8.5688,1.6201,2.8932,0.9225
31,0.002,0.0442,1.0318,0.0793,0.0427,5.5577,8.6525,1.6834,3.0392,0.9199
33,0.0026,0.047,1.0313,0.0824,0.0583,5.7717,9.4217,1.6802,3.0411,0.9181
45,0.0024,0.0421,1.267,0.0228,0.023,5.2236,8.7738,1.9286,3.5605,0.9068
54,0.0024,0.0395,1.3401,0.0274,0.0324,5.0351,8.7867,1.9438,3.5408,0.9019
58,0.0015,0.0417,1.3151,0.016,0.0201,5.264,8.909,1.8814,3.4527,0.9079
63,0.0014,0.0411,1.265,0.0198,0.0298,5.2316,8.6954,1.766,3.2386,0.9121
65,0.0014,0.0419,1.2727,0.0258,0.0372,5.327,8.85,1.7628,3.2448,0.9096
72,0.0014,0.0467,1.2157,0.0273,0.019,6.0899,9.6396,1.6748,3.1105,0.9192
73,0.0014,0.0471,1.207,0.0308,0.0195,6.0973,9.6279,1.6606,3.0965,0.9192
74,0.0014,0.0472,1.1923,0.037,0.0184,6.0154,9.536,1.6455,3.0796,0.9194
75,0.002,0.046,1.1786,0.0613,0.0165,5.6567,9.1682,1.6274,3.0693,0.9195
85,0.0023,0.0441,1.1457,0.0276,0.0305,5.4242,9.1953,1.6708,3.146,0.9278
86,0.0023,0.0442,1.1462,0.0262,0.0298,5.4329,9.2087,1.6649,3.1432,0.9278
87,0.0023,0.0422,1.1125,0.0361,0.0426,5.2258,9.1095,1.614,3.0581,0.9267
93,0.0029,0.0406,0.997,0.0353,0.0399,5.1393,8.7835,1.4953,2.8155,0.9358
96,0.0022,0.0385,0.9767,0.0359,0.0447,4.9136,8.3063,1.4297,2.7078,0.9331
99,0.0026,0.039,0.9708,0.0477,0.0329,4.8478,8.231,1.3942,2.7189,0.9324
103,0.0023,0.0357,1.0265,0.0196,0.0177,4.6631,8.476,1.4205,2.8322,0.9289
105,0.0015,0.0365,1.0077,0.0197,0.017,4.783,8.6701,1.4065,2.828,0.931
107,0.0015,0.0345,0.9244,0.033,0.0319,4.6265,8.2965,1.3444,2.663,0.9312
113,0.0023,0.0357,0.9449,0.024,0.0246,4.782,8.4737,1.3746,2.8408,0.9313
114,0.003,0.0349,0.9546,0.0242,0.0243,4.6567,8.2015,1.3741,2.8485,0.9298
115,0.003,0.0348,0.9484,0.0247,0.0244,4.6606,8.3228,1.3797,2.8489,0.9324
118,0.0015,0.0343,0.85,0.039,0.0432,4.6706,8.267,1.3126,2.6577,0.9314
120,0.0021,0.0348,0.8726,0.0384,0.0371,4.9005,8.726,1.311,2.6639,0.9316
122,0.0014,0.0341,0.8726,0.0521,0.0374,4.7234,8.308,1.3044,2.6558,0.941
124,0.0014,0.0341,0.916,0.0315,0.034,4.7731,8.3698,1.3578,2.7584,0.9374
132,0.0021,0.033,0.935,0.0277,0.0343,4.6001,8.0214,1.4367,2.852,0.9359
133,0.0021,0.0335,0.9408,0.0273,0.0308,4.6352,8.0448,1.4147,2.8217,0.9338
135,0.0028,0.0349,0.9516,0.0289,0.0325,4.7323,8.2318,1.4222,2.8336,0.9313
136,0.0028,0.0346,0.957,0.0294,0.0265,4.7402,8.3059,1.4261,2.8375,0.9323
140,0.0021,0.0365,0.9894,0.0261,0.0261,4.9762,8.7259,1.4747,2.888,0.9302
144,0.0014,0.039,1.0105,0.0301,0.0274,5.2606,9.2118,1.4986,2.9121,0.9301
146,0.0021,0.0391,1.0218,0.0419,0.029,5.1949,9.0627,1.5059,2.9275,0.9284
147,0.0015,0.0393,1.0564,0.0236,0.0258,5.2544,9.1969,1.5622,3.0212,0.9264
148,0.0022,0.0402,1.0627,0.0259,0.032,5.3451,9.3199,1.5636,3.0268,0.9249
166,0.0015,0.0419,1.03,0.0387,0.0286,5.7469,9.6014,1.7528,3.0709,0.9284
168,0.0022,0.0418,0.9513,0.0463,0.0354,5.869,9.6915,1.6766,2.9068,0.9336
172,0.0022,0.0434,0.8803,0.041,0.0493,6.2974,9.8539,1.5974,2.7429,0.9428
173,0.0022,0.0453,0.8747,0.0462,0.049,6.3972,10.0595,1.6065,2.7616,0.9413
175,0.0023,0.043,0.8503,0.0389,0.0376,6.0861,9.6584,1.6298,2.8245,0.9379
176,0.0015,0.0422,0.7659,0.0413,0.0464,6.1125,9.6952,1.5427,2.6374,0.9374
185,0.0016,0.0375,0.7448,0.045,0.0522,5.6468,9.2207,1.535,2.6532,0.928
192,0.0017,0.0373,0.8489,0.0387,0.032,5.4513,8.7003,1.6284,2.7819,0.929
201,0.0017,0.0412,0.8674,0.0384,0.053,6.055,9.8272,1.6062,2.8225,0.9242
202,0.0018,0.0411,0.9558,0.035,0.0352,5.9589,9.3242,1.7216,2.9516,0.9262
203,0.0018,0.0427,0.911,0.0406,0.0356,6.2779,10.2238,1.6892,2.9921,0.9224
209,0.0017,0.0418,1.0258,0.0468,0.0344,6.0443,9.7339,1.764,3.028,0.9236
215,0.0017,0.0404,1.0973,0.0441,0.0398,5.5442,8.9204,1.7463,3.0345,0.9409
229,0.0016,0.037,1.0073,0.0634,0.0377,5.1152,8.2089,1.5803,2.9063,0.9388
235,0.0016,0.0437,0.9989,0.1224,0.0598,5.6824,9.3817,1.545,2.8751,0.9339
237,0.0009,0.0392,1.0778,0.0623,0.0382,5.2699,8.4626,1.6288,3.0951,0.9294
244,0.0009,0.042,1.1214,0.074,0.0563,5.5584,8.7573,1.6589,3.1739,0.9266
249,0.0,0.0384,1.1071,0.0364,0.0361,5.1351,8.2464,1.6788,3.2226,0.926
257,0.0,0.0397,1.0032,0.0292,0.024,5.0745,8.0165,1.4933,2.789,0.9362
267,0.0,0.0363,0.9346,0.0451,0.0363,4.7906,7.3063,1.41,2.5908,0.941
278,0.0,0.0383,0.9968,0.0274,0.0185,5.2412,7.9889,1.5337,2.8422,0.9346
282,0.0,0.0377,0.9441,0.0267,0.0175,5.1579,7.7508,1.4939,2.6835,0.937
285,0.0,0.033,0.8797,0.0392,0.0312,4.7347,7.3251,1.3384,2.4246,0.9489
287,0.0,0.032,0.8437,0.0435,0.0266,4.6058,7.1519,1.301,2.4107,0.949
294,0.0008,0.0385,0.8096,0.0299,0.0209,5.5434,8.373,1.3257,2.4515,0.9434
295,0.0008,0.0393,0.8165,0.0292,0.0213,5.668,8.5516,1.3314,2.4463,0.9431
298,0.0015,0.0447,0.9215,0.0427,0.0212,6.2622,9.4369,1.4438,2.6166,0.9398
302,0.0008,0.0407,0.8302,0.0325,0.0236,5.5191,8.8732,1.402,2.4989,0.9428
303,0.0,0.037,0.8028,0.0594,0.0366,5.0681,8.3642,1.3341,2.4083,0.9425
306,0.0008,0.0373,0.8339,0.0492,0.0431,5.1553,8.562,1.3772,2.5413,0.9413
309,0.0,0.0383,0.8129,0.0271,0.0226,5.3478,8.559,1.3679,2.5511,0.9423
311,0.0,0.04,0.8356,0.0338,0.0352,5.5391,8.5463,1.4315,2.6159,0.944
313,0.0,0.0392,0.824,0.0325,0.0373,5.3547,8.5642,1.4561,2.6953,0.9463
318,0.0,0.0384,0.7537,0.0281,0.0418,5.3852,8.4711,1.4442,2.685,0.9494
323,0.0007,0.0405,0.8269,0.0233,0.0382,5.5827,8.8693,1.5462,2.8633,0.9485
325,0.0007,0.0408,0.7523,0.023,0.0355,5.502,8.5779,1.4317,2.6809,0.9449
337,0.0,0.0358,0.7889,0.0305,0.0351,4.9798,7.4481,1.3552,2.5416,0.9372
338,0.0,0.0361,0.7876,0.0285,0.0304,5.0238,7.5343,1.3617,2.5632,0.9365
340,0.0,0.0365,0.7885,0.0274,0.0416,5.0702,7.6371,1.3766,2.6368,0.9349
346,0.0,0.0369,0.7149,0.0429,0.05,5.3128,8.0732,1.4182,2.674,0.9387
347,0.0,0.0382,0.7312,0.0662,0.1446,5.2644,7.9591,1.3864,2.6596,0.9386
352,0.0,0.0387,0.7475,0.0566,0.074,5.3454,8.0657,1.4325,2.7712,0.9332
354,0.0,0.0386,0.7647,0.0476,0.0703,5.3673,8.0685,1.5077,2.93,0.9313
356,0.0,0.0371,0.7856,0.0577,0.0829,5.2477,7.9087,1.4709,2.8147,0.928
357,0.0,0.0371,0.8079,0.0621,0.0838,5.1312,7.7168,1.4685,2.8197,0.9324
359,0.0,0.0367,0.7947,0.0628,0.0829,5.0901,7.5988,1.4209,2.7851,0.9283
360,0.0,0.038,0.7953,0.0574,0.0649,5.1752,7.7271,1.4264,2.7878,0.9273
363,0.0,0.0403,0.82,0.0355,0.0359,5.4885,8.2062,1.4692,2.8567,0.9262
365,0.0,0.0405,0.825,0.0416,0.059,5.4529,8.2126,1.4785,2.8701,0.9239
373,0.0,0.0406,0.9468,0.0344,0.038,5.2808,8.1306,1.5961,3.1424,0.9175
376,0.0,0.0397,0.9858,0.0444,0.0426,5.2581,7.9619,1.6382,3.172,0.9133
381,0.0,0.0452,1.1218,0.0304,0.0309,5.8661,8.7996,1.8037,3.5468,0.9117
391,0.0,0.048,1.1783,0.0405,0.0322,5.894,8.9887,1.7819,3.3666,0.9165
