,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
3,0.0062,0.0317,1.1844,0.113,0.4043,4.79,8.4685,2.2636,4.1027,0.937
5,0.0053,0.029,1.1595,0.0947,0.339,4.3251,8.2513,2.3059,3.9651,0.9339
10,0.0059,0.0285,1.3461,0.1273,0.4188,4.2875,8.3256,2.4046,4.251,0.9303
13,0.0083,0.032,1.4868,0.1169,0.4358,4.7479,8.5952,2.4698,4.2902,0.9331
15,0.0089,0.0327,1.5099,0.123,0.4274,4.8137,9.2345,2.4919,4.4035,0.9293
24,0.0051,0.0319,1.4479,0.118,0.443,4.7398,8.9369,2.5673,4.4375,0.9188
31,0.0046,0.0335,1.1642,0.0821,0.2813,4.7623,8.3078,2.1498,3.7476,0.9349
33,0.0046,0.0319,1.2393,0.1127,0.2972,4.5129,7.7049,2.1863,3.7921,0.9427
45,0.004,0.0333,1.1838,0.0683,0.2101,4.7997,8.4442,2.1417,3.6226,0.9446
54,0.004,0.0333,1.3601,0.0584,0.2102,4.8827,8.3141,2.2258,3.679,0.9365
58,0.003,0.0305,1.2345,0.0445,0.1713,4.6011,7.6203,2.006,3.3069,0.9418
63,0.0028,0.0337,1.207,0.0764,0.2011,5.0229,9.0032,2.1442,3.7648,0.9474
65,0.0028,0.0324,1.3547,0.0655,0.1817,4.7155,8.0813,2.1935,3.6495,0.9349
72,0.0041,0.0308,1.3499,0.0839,0.2751,4.9022,8.6841,2.104,3.7219,0.9312
73,0.0041,0.0316,1.3838,0.078,0.2134,4.927,8.2274,1.9678,3.314,0.9323
74,0.0055,0.0343,1.4253,0.0857,0.2566,5.1891,8.8378,2.1969,3.7948,0.9274
75,0.0048,0.0334,1.4547,0.1114,0.2454,4.884,8.3199,2.1421,3.5383,0.9267
85,0.0038,0.0305,1.4727,0.0695,0.2472,4.5368,8.484,2.4388,3.942,0.9244
86,0.0046,0.0304,1.5028,0.0605,0.2273,4.4989,8.6838,2.3986,3.6961,0.9302
87,0.0038,0.0274,1.3835,0.0456,0.1723,4.0751,7.8723,2.164,3.2777,0.938
93,0.0044,0.0268,1.0787,0.061,0.2114,4.0063,6.9486,1.7576,2.759,0.9413
96,0.0029,0.0299,1.2525,0.0595,0.1884,4.4113,8.4422,2.118,3.1218,0.9403
99,0.0048,0.0295,1.2698,0.0842,0.2992,4.3211,8.0732,2.078,3.3134,0.9303
103,0.0038,0.0332,1.1199,0.0623,0.1996,4.6993,8.194,1.7441,3.1482,0.9455
105,0.003,0.0343,1.2873,0.0654,0.2134,4.8746,8.979,2.062,3.4229,0.933
107,0.003,0.0298,1.0858,0.0585,0.2233,4.3572,7.8387,1.8718,2.8458,0.9313
113,0.0046,0.0346,1.0372,0.0729,0.218,5.0249,9.3655,1.9429,3.4315,0.9342
114,0.0053,0.0306,1.2898,0.0749,0.2723,4.5862,9.0911,2.1561,3.1643,0.9306
115,0.0061,0.0341,1.1514,0.0769,0.2453,4.8641,9.1485,2.0015,3.3053,0.9378
118,0.0059,0.0301,1.0334,0.0773,0.2421,4.4904,8.8574,2.0799,3.2541,0.9391
120,0.005,0.0317,1.0708,0.0398,0.137,4.6839,8.4797,1.9083,2.9327,0.9337
122,0.0027,0.0306,1.0076,0.0632,0.1818,4.5857,8.5467,2.1219,3.1265,0.9399
124,0.0042,0.0294,1.0858,0.0649,0.1976,4.4403,7.9832,2.0079,3.0669,0.9404
132,0.0035,0.0323,1.3205,0.0939,0.2554,4.7684,8.6397,2.2846,3.4989,0.9454
133,0.0035,0.0324,1.059,0.0728,0.2031,4.6677,8.5312,2.2888,3.6733,0.9414
135,0.0042,0.0327,1.2664,0.0552,0.1667,4.7737,8.5407,2.2539,3.2311,0.9399
136,0.0042,0.0358,1.2962,0.056,0.17,5.1582,9.4565,2.2744,3.5534,0.9495
140,0.0021,0.0332,1.0748,0.05,0.1251,4.6995,8.1649,2.0152,2.9875,0.9521
144,0.0028,0.0322,0.8802,0.0678,0.1428,4.6287,8.3146,1.8795,3.0365,0.9491
146,0.0021,0.0308,1.1547,0.0904,0.2041,4.5111,8.8929,2.0193,3.2038,0.9516
147,0.0029,0.0353,1.0666,0.0626,0.1162,4.9131,8.6619,1.9265,3.0846,0.9442
148,0.0029,0.031,0.9449,0.0608,0.1276,4.4473,7.7496,1.8063,2.7083,0.9451
166,0.0022,0.0296,0.9116,0.0485,0.1442,4.751,7.8343,1.7037,2.8632,0.9457
168,0.0029,0.0301,1.0761,0.0633,0.1873,4.8483,8.6115,1.6942,3.063,0.9418
172,0.0029,0.0308,0.9169,0.0317,0.1657,4.9268,7.8353,1.76,2.7604,0.944
173,0.0029,0.0287,0.8242,0.0367,0.1631,4.6997,7.2975,1.6939,2.6597,0.9527
175,0.003,0.0286,0.8887,0.0433,0.1507,4.5498,7.6679,1.548,2.6574,0.9549
176,0.0038,0.0286,0.9673,0.0341,0.1211,4.5223,7.4049,1.6945,2.7851,0.9543
185,0.0032,0.029,1.0965,0.0618,0.215,4.4607,7.3171,1.8703,3.1181,0.9432
192,0.0041,0.0263,0.8945,0.0559,0.2073,3.9413,6.4874,1.6567,2.8066,0.9437
201,0.0034,0.0375,1.0325,0.055,0.1578,4.9989,7.6519,1.6837,3.1362,0.9491
202,0.0036,0.0286,0.9724,0.0331,0.1538,4.1917,7.0415,1.7012,2.6842,0.9441
203,0.0045,0.029,1.0909,0.024,0.1359,4.2455,6.3821,1.7411,2.6527,0.9447
209,0.0034,0.0264,0.9846,0.0296,0.085,3.8782,6.7994,1.7628,2.5794,0.945
215,0.0033,0.0267,0.9798,0.0242,0.1107,4.1062,7.2299,1.6291,2.5372,0.937
229,0.0048,0.0315,0.7953,0.0534,0.1516,4.6341,8.4607,1.6549,2.9478,0.947
235,0.0032,0.0299,0.8883,0.0545,0.1734,4.2114,7.2278,1.5034,2.4305,0.9401
237,0.0017,0.0295,0.9001,0.0427,0.1419,4.266,7.432,1.6048,2.5952,0.9463
244,0.0009,0.0268,0.7696,0.0339,0.1001,4.0724,6.7696,1.3725,2.192,0.9447
249,0.0,0.0272,0.83,0.0244,0.1002,4.1584,6.1878,1.532,2.4379,0.9293
