,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE
0,0.0093,0.0653,0.8673,0.05,0.0747,13.7403,19.6276,2.0971,3.2545
1,0.0092,0.0705,0.8322,0.0451,0.0529,15.5134,22.2656,2.303,3.3941
2,0.0099,0.0699,0.8132,0.0463,0.0511,15.2686,22.0133,2.2535,3.1993
3,0.007,0.068,0.8688,0.0489,0.0465,14.8255,21.5076,2.2295,3.1984
4,0.0077,0.0644,0.8712,0.0547,0.0618,13.9479,20.0186,2.1651,3.1067
5,0.0083,0.062,0.8068,0.0794,0.0882,13.5209,20.4908,2.113,2.9169
6,0.0066,0.0666,0.8597,0.0725,0.0861,14.442,21.8033,2.2691,3.0798
7,0.0073,0.0673,0.8339,0.0761,0.0881,14.4048,21.9356,2.2225,2.9985
8,0.0071,0.0715,0.9041,0.0531,0.0473,15.5745,23.924,2.4677,3.1413
9,0.0063,0.0702,0.9095,0.0421,0.0469,15.4843,24.059,2.4142,3.0188
10,0.0053,0.0691,0.8663,0.0431,0.0467,15.3587,23.6404,2.3145,2.753
11,0.005,0.0676,0.8696,0.0523,0.0524,14.8936,22.3449,2.183,2.5817
12,0.0035,0.0671,0.8621,0.0543,0.053,14.7638,21.9692,2.1265,2.5031
13,0.0048,0.0665,0.725,0.0581,0.0416,14.4626,21.3527,1.938,2.1821
14,0.0048,0.0642,0.7417,0.0701,0.0431,13.7689,19.9739,1.9037,2.1622
15,0.0055,0.0644,0.7202,0.0782,0.043,13.8277,20.0654,1.8968,2.1153
16,0.0055,0.0659,0.6933,0.0635,0.0397,14.2133,20.8106,1.8837,2.0712
17,0.0084,0.0687,0.7273,0.0514,0.0483,15.1436,22.5249,1.9301,1.9775
18,0.0076,0.0688,0.7043,0.0512,0.0516,15.1955,22.6381,1.9168,1.9213
19,0.0069,0.0685,0.6949,0.05,0.0527,15.0651,22.265,1.8873,1.9197
20,0.0066,0.0644,0.6962,0.0559,0.0482,14.1255,21.1912,1.7886,1.9111
21,0.0066,0.0641,0.6837,0.0591,0.0493,14.0179,21.0635,1.7233,1.8214
22,0.0044,0.0661,0.6652,0.0626,0.0445,14.362,22.0897,1.7013,1.7599
23,0.0046,0.0676,0.6839,0.0572,0.0441,14.8383,23.1134,1.82,1.9763
24,0.0046,0.0659,0.6765,0.0585,0.0484,14.3996,22.3396,1.7965,1.9291
25,0.0061,0.0658,0.6633,0.0608,0.0504,14.3529,22.1807,1.7502,1.9039
26,0.0053,0.0666,0.7144,0.0574,0.0622,14.4402,21.4778,1.7924,2.1434
27,0.0061,0.0669,0.7279,0.0526,0.0576,14.5112,21.7165,1.7931,2.1249
28,0.0061,0.0669,0.7342,0.0596,0.0566,14.457,21.4354,1.7575,2.1201
29,0.0066,0.0643,0.7259,0.063,0.0553,13.8337,20.8221,1.7485,2.1812
30,0.0064,0.063,0.7353,0.0596,0.0614,13.3908,20.2803,1.7285,2.203
31,0.0041,0.0639,0.777,0.0648,0.0546,13.6245,20.1425,1.7971,2.3378
32,0.0035,0.0651,0.7885,0.069,0.0555,13.9137,20.204,1.8481,2.369
33,0.0057,0.0653,0.757,0.067,0.061,14.2461,20.7661,1.9628,2.5382
34,0.005,0.0657,0.7464,0.0655,0.065,14.2766,21.0996,1.9491,2.5193
35,0.005,0.0656,0.7335,0.0695,0.0699,14.2329,20.9497,1.9237,2.518
36,0.0042,0.0636,0.7388,0.0746,0.0764,13.9042,20.7178,1.9102,2.4547
37,0.0042,0.0661,0.6872,0.0827,0.0573,14.3772,21.5412,1.9151,2.4496
38,0.0064,0.0659,0.6109,0.0737,0.0584,14.1843,21.222,1.8586,2.3966
39,0.0057,0.0658,0.5884,0.0717,0.0531,14.1057,21.1061,1.8278,2.3547
40,0.0059,0.0672,0.6109,0.0753,0.0579,14.4603,21.6355,1.8724,2.4085
41,0.0044,0.0675,0.5923,0.0677,0.0622,14.4714,21.6889,1.8702,2.397
42,0.0059,0.0678,0.7746,0.0663,0.0618,14.5423,21.1704,2.0257,2.8171
43,0.0051,0.0658,0.7608,0.0693,0.0609,14.1128,20.3251,2.0022,2.7838
44,0.0044,0.0655,0.7774,0.0546,0.0641,14.1153,20.6656,2.0473,2.9011
45,0.0044,0.0626,0.7688,0.0551,0.0656,13.5453,19.569,2.0384,2.9165
46,0.0046,0.0652,0.7854,0.06,0.0515,14.1142,20.3227,2.1226,2.9949
47,0.0061,0.0659,0.7763,0.0624,0.0537,14.3433,20.813,2.1301,2.9457
48,0.0048,0.0698,0.808,0.0686,0.0596,14.7589,21.0834,2.1187,2.8592
49,0.0041,0.0702,0.8196,0.0678,0.0573,14.7943,20.6888,2.0987,2.758
50,0.0052,0.0702,0.7395,0.0833,0.0756,14.8775,20.7591,1.9656,2.5522
51,0.0072,0.0714,0.7686,0.069,0.0764,15.3912,21.4152,2.0285,2.6254
52,0.009,0.071,0.7464,0.0652,0.0685,15.332,21.4504,2.0125,2.5697
53,0.0077,0.0682,0.7972,0.0722,0.0742,14.6036,20.4895,2.1127,2.6207
54,0.0058,0.0678,0.7788,0.0734,0.0837,14.8231,21.5564,2.0997,2.5933
55,0.0055,0.0645,0.6127,0.0773,0.0711,14.0191,20.3714,1.9598,2.5568
56,0.0032,0.0615,0.5627,0.0902,0.0847,13.2497,19.0478,1.863,2.4027
57,0.0026,0.0653,0.5954,0.0725,0.0518,14.17,20.3858,1.971,2.535
58,0.0018,0.0635,0.604,0.0727,0.0629,13.8272,19.6568,1.9215,2.4585
59,0.0,0.067,0.68,0.0428,0.0451,15.037,20.5204,2.0688,2.6133
60,0.0,0.0689,0.5541,0.05,0.0326,15.0185,21.8194,2.0159,2.6087
61,0.0,0.0681,0.4827,0.0525,0.0377,14.931,22.1582,1.9669,2.6161
62,0.0,0.0696,0.5044,0.0468,0.0419,15.4294,22.931,2.053,2.7565
63,0.0,0.0678,0.6032,0.0466,0.0388,15.0189,22.4756,2.0792,2.7821
64,0.0,0.0661,0.5643,0.0441,0.0369,14.5713,21.5065,2.0588,2.8534
65,0.0,0.0658,0.5421,0.0461,0.0374,14.4716,21.3618,2.0351,2.8411
66,0.0023,0.0652,0.5253,0.0405,0.0296,14.7397,21.7648,1.9332,2.6655
67,0.0023,0.0654,0.5287,0.0392,0.0288,14.8,21.8065,1.9219,2.6365
68,0.0023,0.0655,0.5404,0.0478,0.0269,14.8007,21.5587,1.8683,2.6164
69,0.0008,0.0667,0.6051,0.0394,0.0267,14.9639,21.3363,1.935,2.7801
70,0.0,0.066,0.5962,0.0413,0.0239,14.7757,20.8854,1.9194,2.7603
71,0.0008,0.0691,0.7295,0.0333,0.0352,15.4029,22.2736,2.0119,2.9896
72,0.0,0.0681,0.7503,0.0363,0.0312,15.1711,21.4746,2.0049,2.9982
73,0.0,0.0685,0.7764,0.0373,0.0339,15.0107,20.2642,1.9813,2.9445
74,0.0,0.0696,0.7974,0.0452,0.0383,15.1844,20.3744,2.033,2.9717
75,0.0,0.0708,0.7905,0.0359,0.0387,15.5237,20.8598,2.0598,2.9083
76,0.0022,0.0711,0.7653,0.0434,0.0413,15.4698,21.1102,2.0147,2.7237
77,0.0015,0.0711,0.7486,0.0376,0.0376,15.4505,21.1098,1.9945,2.6313
78,0.0,0.0717,0.7401,0.0414,0.0345,15.5377,20.3671,2.0315,2.5684
79,0.0,0.0735,0.7332,0.0427,0.0249,15.9838,21.4728,2.0155,2.5183
80,0.0,0.0732,0.7046,0.0404,0.0492,15.9525,21.2968,1.9746,2.4366
81,0.0,0.072,0.6437,0.0411,0.0462,15.5977,20.8516,1.8855,2.2712
82,0.0,0.0721,0.6496,0.0535,0.0747,15.3284,20.636,1.8162,2.2054
83,0.0,0.0686,0.6475,0.0779,0.068,14.3144,19.1409,1.7159,2.0095
